ID,Region,District,Longitude,Latitude
1,Magway Region,Gangaw District,93.9816912,21.9194295
1,Magway Region,Gangaw District,93.9811846,21.9243701
1,Magway Region,Gangaw District,93.9848907,21.9330184
1,Magway Region,Gangaw District,93.9927971,21.9456203
1,Magway Region,Gangaw District,94.0034212,21.9668706
1,Magway Region,Gangaw District,94.0175044,21.9957808
1,Magway Region,Gangaw District,94.0148057,22.0145604
1,Magway Region,Gangaw District,94.0132435,22.0250486
1,Magway Region,Gangaw District,94.0112348,22.0404462
1,Magway Region,Gangaw District,94.0064791,22.0809377
1,Magway Region,Gangaw District,94.0418033,22.1555945
1,Magway Region,Gangaw District,94.0360006,22.2031263
1,Magway Region,Gangaw District,94.037339,22.2225407
1,Magway Region,Gangaw District,94.0380039,22.2543277
1,Magway Region,Gangaw District,94.0259566,22.3227369
1,Magway Region,Gangaw District,94.0183687,22.366475
1,Magway Region,Gangaw District,94.0234074,22.3754608
1,Magway Region,Gangaw District,94.0502773,22.4233799
1,Magway Region,Gangaw District,94.0578639,22.4367693
1,Magway Region,Gangaw District,94.0509464,22.4356534
1,Magway Region,Gangaw District,94.0192598,22.4363223
1,Magway Region,Gangaw District,94.0189885,22.4369037
1,Magway Region,Gangaw District,94.0176978,22.4396696
1,Magway Region,Gangaw District,94.024392,22.4452486
1,Magway Region,Gangaw District,94.0293011,22.448596
1,Magway Region,Gangaw District,94.0359955,22.4456951
1,Magway Region,Gangaw District,94.0406815,22.4470341
1,Magway Region,Gangaw District,94.0433592,22.449712
1,Magway Region,Gangaw District,94.0478221,22.4512742
1,Magway Region,Gangaw District,94.0446978,22.4622087
1,Magway Region,Gangaw District,94.0386726,22.4831851
1,Magway Region,Gangaw District,94.0168784,22.5675361
1,Magway Region,Gangaw District,94.0165787,22.5954313
1,Magway Region,Gangaw District,94.0380005,22.6027958
1,Magway Region,Gangaw District,94.0439863,22.6043841
1,Magway Region,Gangaw District,94.0489345,22.605697
1,Magway Region,Gangaw District,94.0462566,22.6155157
1,Magway Region,Gangaw District,94.0395618,22.6382774
1,Magway Region,Gangaw District,94.0310817,22.6648326
1,Magway Region,Gangaw District,94.0223785,22.6898257
1,Magway Region,Gangaw District,94.010551,22.7273154
1,Magway Region,Gangaw District,94.0078731,22.7371341
1,Magway Region,Gangaw District,94.0138979,22.736688
1,Magway Region,Gangaw District,94.0288486,22.7362419
1,Magway Region,Gangaw District,94.0411216,22.736019
1,Magway Region,Gangaw District,94.05094,22.732895
1,Magway Region,Gangaw District,94.0574113,22.7308867
1,Magway Region,Gangaw District,94.0681222,22.7342343
1,Magway Region,Gangaw District,94.075189,22.7363949
1,Magway Region,Gangaw District,94.0760971,22.7400188
1,Magway Region,Gangaw District,94.0780196,22.7414033
1,Magway Region,Gangaw District,94.0784813,22.7427617
1,Magway Region,Gangaw District,94.0803948,22.7491858
1,Magway Region,Gangaw District,94.086866,22.7520869
1,Magway Region,Gangaw District,94.0924445,22.7565501
1,Magway Region,Gangaw District,94.0973536,22.7587818
1,Magway Region,Gangaw District,94.1024859,22.7587819
1,Magway Region,Gangaw District,94.1027329,22.758727
1,Magway Region,Gangaw District,94.1058053,22.7597889
